Year,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Switzerland,United Kingdom,United States,Average
1972,4.54,4.78,4.08,6.53,5.18,5.71,4.6,5.66,5.1,4.09,6.5,5.1
1973,4.51,4.87,4.36,6.21,5.18,5.71,4.48,5.7,5.17,4.02,6.52,5.13
1974,5.11,5.1,4.42,6.09,5.18,5.71,4.92,5.9,5.53,4.65,6.84,5.45
1975,5.76,6.52,5.52,6.54,6.14,8.02,5.44,6.24,6.3,4.93,7.17,6.14
1976,5.77,6.76,5.72,6.57,6.14,8.02,5.44,6.18,6.52,4.95,7.42,6.22
1977,6.07,6.7,6.19,6.55,6.14,8.02,5.58,6.27,6.51,4.85,7.67,6.3
1978,5.94,6.97,6.38,6.53,6.14,8.02,5.77,6.38,6.52,4.8,7.64,6.37
1979,5.82,6.94,6.36,6.41,6.14,8.02,5.89,6.54,6.62,4.74,7.77,6.36
1980,5.82,7.04,6.15,6.59,6.74,8.1,6.28,6.6,6.65,5.06,8.23,6.5
1981,5.83,6.04,6.56,6.79,6.74,8.1,6.35,6.69,6.71,5.29,8.52,6.52
1982,6.1,6.01,6.79,7.52,6.74,8.1,6.51,6.92,6.85,5.12,9.21,6.67
1983,6.04,5.85,6.95,7.69,6.74,8.1,6.61,6.92,7.21,5.32,9.33,6.76
1984,6.02,5.89,6.8,7.58,6.74,8.1,6.41,6.64,6.97,5.24,9.28,6.65
1985,6.07,6.02,6.85,7.59,7.64,8.48,6.47,6.63,6.97,5.14,9.5,6.79
1986,6.26,6.13,7.02,7.83,7.64,8.48,6.43,6.72,7.15,5.13,9.67,6.78
1987,6.1,6.42,7.12,7.77,7.64,8.48,6.44,6.83,7.35,5.18,9.9,6.85
1988,6.05,6.41,7.12,7.77,7.64,8.48,6.15,6.75,7.4,5.09,10.29,6.82
1989,6.11,6.56,7.07,7.98,7.64,8.48,5.9,6.92,7.42,5.04,10.65,6.78
1990,6.47,7.74,7.11,8.39,7.96,8.03,5.74,7.08,7.36,5.09,11.27,7.1
1991,6.76,7.8,7.42,9.08,7.96,8.03,5.78,7.26,7.96,5.49,11.95,7.3
1992,6.82,8.1,7.6,9.33,8.4,9.03,6.04,7.47,8.33,5.94,12.22,7.71
1993,6.84,8.62,7.72,9.22,8.81,9,6.31,7.57,8.41,6,12.47,7.85
1994,6.87,9.01,7.52,8.86,8.79,9.24,6.58,7.45,8.49,6.08,12.39,7.89
1995,6.91,8.95,7.48,8.56,9.83,9.51,6.28,7.36,8.85,5.66,12.5,7.94
1996,7.05,8.9,7.75,8.36,9.83,9.8,6.12,7.29,9.2,5.65,12.46,8
1997,7.07,9,7.61,8.35,9.71,9.68,6.4,7.1,9.19,5.52,12.37,7.96
1998,7.23,9.18,7.74,8.58,9.61,9.7,6.62,7.18,9.31,5.67,12.4,8.08
1999,7.33,9.32,7.9,8.36,9.61,9.77,6.98,7.18,9.44,5.9,12.4,8.18
2000,7.62,9.2,7.94,8.28,9.54,9.83,7.15,7.06,9.84,5.97,12.54,8.24
2001,7.7,9.27,8.11,8.66,9.67,9.86,7.36,7.44,10.23,6.33,13.22,8.46
2002,7.9,9.4,8.26,8.89,9.98,10.11,7.47,7.95,10.64,6.59,14.01,8.72
2003,7.91,9.55,9.04,9.04,10.04,10.33,7.61,8.46,10.94,6.85,14.52,8.98
2004,8.12,9.71,9.05,9.1,10.12,10.08,7.66,8.52,11,7.05,14.61,9.04
2005,8,9.63,8.97,9.06,10.18,10.23,7.78,9.27,10.82,7.19,14.61,9.11
2006,8,9.53,8.86,9.21,10.33,10.11,7.81,9.18,10.21,7.33,14.7,9.06
2007,8.08,9.53,8.89,9.3,10.26,9.97,7.89,9.24,10.02,7.43,14.93,9.06
2008,8.27,9.73,9.27,9.47,10.45,10.16,8.2,9.51,10.15,7.68,15.3,9.29
2009,8.58,10.23,10,10.57,11.24,11.14,9.06,10.24,10.81,8.53,16.31,10.04
2010,8.45,10.22,9.84,10.56,11.18,11,9.16,10.4,10.7,8.47,16.38,10
2011,8.56,10.03,10,10.23,11.19,10.72,10.62,10.52,10.77,8.42,16.35,10.11
2012,8.69,10.2,10.11,10.24,11.32,10.77,10.79,10.9,11.06,8.34,16.33,10.24
2013,8.77,10.29,10.27,10.13,11.44,10.92,10.79,10.9,11.31,9.77,16.26,10.46
2014,9.06,10.37,10.34,9.97,11.6,10.96,10.83,10.86,11.49,9.72,16.44,10.52
2015,9.33,10.34,10.11,10.38,11.5,11.08,10.87,10.4,11.89,9.79,16.75,10.57
2016,9.25,10.44,10.04,10.54,11.54,11.14,10.84,10.36,12.25,9.76,17.12,10.62
2017,9.13,10.32,10.02,10.41,11.46,11.27,10.75,10.14,12.26,9.65,17.06,10.54
